cicid,i94yr,i94mon,i94cit,i94res,i94port,arrdate,i94mode,i94addr,depdate,i94bir,i94visa,count,dtadfile,visapost,occup,entdepa,entdepd,entdepu,matflag,biryear,dtaddto,gender,insnum,airline,admnum,fltno,visatype
4084316,2016,4,209,209,HHW,20566,1,HI,20573,61,2,1,20160422,,,G,O,,M,1955,7202016,F,,JL,56582674633,782,WT
4422636,2016,4,582,582,MCA,20567,1,TX,20568,26,2,1,20160423,MTR,,G,R,,M,1990,10222016,M,,*GA,94361995930,XBLNG,B2
1195600,2016,4,148,112,OGG,20551,1,FL,20571,76,2,1,20160407,,,G,O,,M,1940,7052016,M,,LH,55780468433,464,WT
5291768,2016,4,297,297,LOS,20572,1,CA,20581,25,2,1,20160428,DOH,,G,O,,M,1991,10272016,M,,QR,94789696030,739,B2
985523,2016,4,111,111,CHM,20550,3,NY,20553,19,2,1,20160406,,,Z,K,,M,1997,7042016,F,,,42322572633,LAND,WT
1481650,2016,4,577,577,ATL,20552,1,GA,20606,51,2,1,20160408,,,T,N,,M,1965,10072016,M,,DL,736852585,910,B2
2197173,2016,4,245,245,SFR,20556,1,CA,20635,48,2,1,20160412,,,T,O,,M,1968,10112016,F,,CX,786312185,870,B2
232708,2016,4,113,135,NYC,20546,1,NY,20554,33,2,1,20160402,,,G,O,,M,1983,6302016,F,,BA,55474485033,117,WT
5227851,2016,4,131,131,CHI,20572,1,IL,20575,39,2,1,20160428,,,O,O,,M,1977,7262016,,,LX,59413424733,8,WT
13213,2016,4,116,116,LOS,20545,1,CA,20553,35,2,1,20160401,,,O,O,,M,1981,6292016,,,AA,55449792933,109,WT
1230572,2016,4,438,438,LOS,20551,1,CA,20565,4,2,1,20160407,,,G,O,,M,2012,7052016,F,,QF,55743814633,15,WT
5056736,2016,4,209,209,PHI,20571,1,HI,20575,72,2,1,20160427,,,G,O,,M,1944,7252016,M,,DL,59336618033,598,WT
2711583,2016,4,148,112,FTL,20559,2,,20565,54,2,1,20160415,,,G,O,,M,1962,7132016,F,,VES,56175860733,93724,WT
4916639,2016,4,260,260,LOS,20570,1,CA,20581,62,2,1,20160426,MNL,,G,O,,M,1954,10252016,F,,EK,94612771030,215,B2
1387607,2016,4,148,112,BOS,20552,1,MA,20560,34,2,1,20160408,,,G,K,,M,1982,7062016,F,,AF,55833387633,338,WT
5960799,2016,4,245,245,SAI,20545,1,,20550,30,2,1,20160615,,,P,D,,M,1986,4132016,M,3882,MU,44162582033,763,CP
1056530,2016,4,512,512,NAS,20550,1,GA,20552,21,2,1,20160406,NSS,,G,O,,M,1995,10052016,F,,DL,92858001630,554,B2
2466971,2016,4,689,689,FTL,20557,1,FL,20569,43,2,1,20160413,,,O,O,,M,1973,10122016,,,AD,93384901630,8704,B2
4668286,2016,4,746,158,SEA,20568,1,NV,20571,46,2,1,20160424,MOS,,G,O,,M,1970,10232016,M,,DL,94435600530,143,B2
2556646,2016,4,260,260,FTL,20558,1,CA,20596,14,2,1,20160414,MNL,,G,O,,M,2002,10132016,M,,OZ,93536845530,204,B2
4042798,2016,4,115,115,ORL,20566,1,FL,20588,62,2,1,20160422,,,O,O,,M,1954,7202016,,,FI,59099859633,689,WT
2139030,2016,4,689,689,PSP,20555,1,HI,20568,40,2,1,20160411,,,O,O,,M,1976,10102016,,,AA,93252743030,962,B2
3097076,2016,4,111,511,NYC,20561,1,NY,20567,41,2,1,20160417,,,G,O,,M,1975,7152016,F,,DY,56307118133,6750,WT
2741251,2016,4,251,251,HOU,20559,1,CA,20574,22,2,1,20160415,TLV,,G,O,,M,1994,10142016,M,,BA,93654774730,273,B2
2721962,2016,4,209,209,NEW,20559,1,HI,20562,41,2,1,20160415,,,O,O,,M,1975,7132016,,,HA,56217031933,458,WT
513779,2016,4,268,268,SFR,20547,1,TX,20610,33,2,1,20160403,,,G,O,,M,1983,7012016,F,,UA,55530529133,872,WT
3669540,2016,4,129,585,BAL,20564,1,,20576,22,2,1,20160420,,,G,O,,M,1994,7182016,M,,WN,56486704133,812,WT
5070551,2016,4,213,213,LOS,20571,1,CA,20676,64,2,1,20160427,MDR,,G,O,,M,1952,10262016,M,,QR,94694864030,739,B2
2006623,2016,4,135,135,ORL,20555,1,FL,20569,17,2,1,20160411,,,G,O,,M,1999,7092016,M,,VS,55996439733,75,WT
2826530,2016,4,582,582,SNJ,20559,1,CA,20561,42,2,1,20160415,MEX,,G,O,,M,1974,10142016,F,,Y4,93617884330,930,B2
5692439,2016,4,133,264,HOU,20574,1,NV,20580,41,1,1,20160430,IST,,G,O,,M,1975,10292016,M,,TK,95021509030,33,B1
5835717,2016,4,582,582,DET,20574,1,FL,20581,35,2,1,20160430,MEX,,G,O,,M,1981,10292016,F,,AA,94957649530,1498,B2
